zipcode,area,city
10110,"Gambir, Gambir",Jakarta Pusat
10120,"Kebon Kelapa, Gambir",Jakarta Pusat
10130,"Petojo Utara, Gambir",Jakarta Pusat
10140,"Duri Pulo, Gambir",Jakarta Pusat
10150,"Cideng, Gambir",Jakarta Pusat
10160,"Petojo Selatan, Gambir",Jakarta Pusat
10210,"Bendungan Hilir, Tanah Abang",Jakarta Pusat
10220,"Karet Tengsin, Tanah Abang",Jakarta Pusat
10230,"Kebon Melati, Tanah Abang",Jakarta Pusat
10240,"Kebon Kacang, Tanah Abang",Jakarta Pusat
10250,"Kampung Bali, Tanah Abang",Jakarta Pusat
10260,"Petamburan, Tanah Abang",Jakarta Pusat
10270,"Gelora, Tanah Abang",Jakarta Pusat
10310,"Menteng, Menteng",Jakarta Pusat
10320,"Pegangsaan, Menteng",Jakarta Pusat
10330,"Cikini, Menteng",Jakarta Pusat
10340,"Kebon Sirih, Menteng",Jakarta Pusat
10350,"Gondangdia, Menteng",Jakarta Pusat
10410,"Senen, Senen",Jakarta Pusat
10420,"Kwitang, Senen",Jakarta Pusat
10430,"Kenari, Senen",Jakarta Pusat
10440,"Paseban, Senen",Jakarta Pusat
10450,"Kramat, Senen",Jakarta Pusat
10460,"Bungur, Senen",Jakarta Pusat
10510,"Cempaka Putih Timur, Cempaka Putih",Jakarta Pusat
10520,"Cempaka Putih Barat, Cempaka Putih",Jakarta Pusat
10530,"Galur, Johar Baru",Jakarta Pusat
10540,"Tanah Tinggi, Johar Baru",Jakarta Pusat
10550,"Kampung Rawa, Johar Baru",Jakarta Pusat
10560,"Johar Baru, Johar Baru",Jakarta Pusat
10570,"Rawasari, Cempaka Putih",Jakarta Pusat
10610,"Gunung Sahari Selatan, Kemayoran",Jakarta Pusat
10620,"Kemayoran, Kemayoran",Jakarta Pusat
10630,"Kebon Kosong, Kemayoran",Jakarta Pusat
10640,"Cempaka Baru, Kemayoran",Jakarta Pusat
10640,"Harapan Mulya, Kemayoran",Jakarta Pusat
10640,"Sumur Batu, Kemayoran",Jakarta Pusat
10650,"Serdang, Kemayoran",Jakarta Pusat
10650,"Utan Panjang, Kemayoran",Jakarta Pusat
10710,"Pasar Baru, Sawah Besar",Jakarta Pusat
10720,"Gunung Sahari Utara, Sawah Besar",Jakarta Pusat
10730,"Mangga Dua Selatan, Sawah Besar",Jakarta Pusat
10740,"Karang Anyar, Sawah Besar",Jakarta Pusat
10750,"Kartini, Sawah Besar",Jakarta Pusat
11110,"Pinangsia, Taman Sari",Jakarta Barat
11120,"Glodok, Taman Sari",Jakarta Barat
11130,"Keagungan, Taman Sari",Jakarta Barat
11140,"Krukut, Taman Sari",Jakarta Barat
11150,"Taman Sari, Taman Sari",Jakarta Barat
11160,"Maphar, Taman Sari",Jakarta Barat
11170,"Tangki, Taman Sari",Jakarta Barat
11180,"Mangga Besar, Taman Sari",Jakarta Barat
11210,"Tanah Sereal, Tambora",Jakarta Barat
11220,"Tambora, Tambora",Jakarta Barat
11230,"Roa Malaka, Tambora",Jakarta Barat
11240,"Pekojan, Tambora",Jakarta Barat
11250,"Jembatan Lima, Tambora",Jakarta Barat
11260,"Krendang, Tambora",Jakarta Barat
11270,"Duri Selatan, Tambora",Jakarta Barat
11270,"Duri Utara, Tambora",Jakarta Barat
11310,"Kali Anyar, Tambora",Jakarta Barat
11320,"Jembatan Besi, Tambora",Jakarta Barat
11330,"Angke, Tambora",Jakarta Barat
11410,"Slipi, Palmerah",Jakarta Barat
11420,"Kota Bambu Selatan, Palmerah",Jakarta Barat
11420,"Kota Bambu Utara, Palmerah",Jakarta Barat
11430,"Jatipulo, Palmerah",Jakarta Barat
11440,"Tomang, Grogol Petamburan",Jakarta Barat
11450,"Grogol, Grogol Petamburan",Jakarta Barat
11460,"Jelambar, Grogol Petamburan",Jakarta Barat
11460,"Jelambar Baru, Grogol Petamburan",Jakarta Barat
11460,"Wijaya Kusuma, Grogol Petamburan",Jakarta Barat
11470,"Tanjung Duren Selatan, Grogol Petamburan",Jakarta Barat
11470,"Tanjung Duren Utara, Grogol Petamburan",Jakarta Barat
11480,"Kemanggisan, Palmerah",Jakarta Barat
11480,"Palmerah, Palmerah",Jakarta Barat
11510,"Duri Kepa, Kebon Jeruk",Jakarta Barat
11520,"Kedoya Selatan, Kebon Jeruk",Jakarta Barat
11520,"Kedoya Utara, Kebon Jeruk",Jakarta Barat
11530,"Kebon Jeruk, Kebon Jeruk",Jakarta Barat
11540,"Sukabumi Utara (Ilir), Kebon Jeruk",Jakarta Barat
11550,"Kelapa Dua, Kebon Jeruk",Jakarta Barat
11560,"Sukabumi Selatan (Udik), Kebon Jeruk",Jakarta Barat
11610,"Kembangan Selatan, Kembangan",Jakarta Barat
11610,"Kembangan Utara, Kembangan",Jakarta Barat
11620,"Meruya Utara (Ilir), Kembangan",Jakarta Barat
11630,"Srengseng, Kembangan",Jakarta Barat
11640,"Joglo, Kembangan",Jakarta Barat
11650,"Meruya Selatan (Udik), Kembangan",Jakarta Barat
11710,"Kedaung Kali Angke, Cengkareng",Jakarta Barat
11720,"Kapuk, Cengkareng",Jakarta Barat
11730,"Cengkareng Barat, Cengkareng",Jakarta Barat
11730,"Cengkareng Timur, Cengkareng",Jakarta Barat
11740,"Rawa Buaya, Cengkareng",Jakarta Barat
11750,"Duri Kosambi, Cengkareng",Jakarta Barat
11810,"Kamal, Kalideres",Jakarta Barat
11820,"Tegal Alur, Kalideres",Jakarta Barat
11830,"Pegadungan, Kalideres",Jakarta Barat
11840,"Kalideres, Kalideres",Jakarta Barat
11850,"Semanan, Kalideres",Jakarta Barat
12110,"Selong, Kebayoran Baru",Jakarta Selatan
12120,"Gunung, Kebayoran Baru",Jakarta Selatan
12130,"Kramat Pela, Kebayoran Baru",Jakarta Selatan
12140,"Gandaria Utara, Kebayoran Baru",Jakarta Selatan
12150,"Cipete Utara, Kebayoran Baru",Jakarta Selatan
12160,"Melawai, Kebayoran Baru",Jakarta Selatan
12160,"Pulo, Kebayoran Baru",Jakarta Selatan
12170,"Petogogan, Kebayoran Baru",Jakarta Selatan
12180,"Rawa Barat, Kebayoran Baru",Jakarta Selatan
12190,"Senayan, Kebayoran Baru",Jakarta Selatan
12210,"Grogol Utara, Kebayoran Lama",Jakarta Selatan
12220,"Grogol Selatan, Kebayoran Lama",Jakarta Selatan
12230,"Cipulir, Kebayoran Lama",Jakarta Selatan
12240,"Kebayoran Lama Selatan, Kebayoran Lama",Jakarta Selatan
12240,"Kebayoran Lama Utara, Kebayoran Lama",Jakarta Selatan
12250,"Ulujami, Pesanggrahan",Jakarta Selatan
12260,"Petukangan Utara, Pesanggrahan",Jakarta Selatan
12270,"Petukangan Selatan, Pesanggrahan",Jakarta Selatan
12310,"Pondok Pinang, Kebayoran Lama",Jakarta Selatan
12320,"Pesanggrahan, Pesanggrahan",Jakarta Selatan
12330,"Bintaro, Pesanggrahan",Jakarta Selatan
12410,"Cipete Selatan, Cilandak",Jakarta Selatan
12420,"Gandaria Selatan, Cilandak",Jakarta Selatan
12430,"Cilandak Barat, Cilandak",Jakarta Selatan
12440,"Lebak Bulus, Cilandak",Jakarta Selatan
12450,"Pondok Labu, Cilandak",Jakarta Selatan
12510,"Pejaten Barat, Pasar Minggu",Jakarta Selatan
12510,"Pejaten Timur, Pasar Minggu",Jakarta Selatan
12520,"Kebagusan, Pasar Minggu",Jakarta Selatan
12520,"Pasar Minggu, Pasar Minggu",Jakarta Selatan
12530,"Tanjung Barat, Jagakarsa",Jakarta Selatan
12540,"Jati Padang, Pasar Minggu",Jakarta Selatan
12550,"Ragunan, Pasar Minggu",Jakarta Selatan
12560,"Cilandak Timur, Pasar Minggu",Jakarta Selatan
12620,"Jagakarsa, Jagakarsa",Jakarta Selatan
12630,"Ciganjur, Jagakarsa",Jakarta Selatan
12630,"Cipedak, Jagakarsa",Jakarta Selatan
12630,"Lenteng Agung, Jagakarsa",Jakarta Selatan
12640,"Srengseng Sawah, Jagakarsa",Jakarta Selatan
12710,"Kuningan Barat, Mampang Prapatan",Jakarta Selatan
12720,"Pela Mampang, Mampang Prapatan",Jakarta Selatan
12730,"Bangka, Mampang Prapatan",Jakarta Selatan
12740,"Kalibata, Pancoran",Jakarta Selatan
12750,"Rawa Jati, Pancoran",Jakarta Selatan
12760,"Duren Tiga, Pancoran",Jakarta Selatan
12770,"Cikoko, Pancoran",Jakarta Selatan
12770,"Pengadegan, Pancoran",Jakarta Selatan
12780,"Pancoran, Pancoran",Jakarta Selatan
12790,"Mampang Prapatan, Mampang Prapatan",Jakarta Selatan
12790,"Tegal Parang, Mampang Prapatan",Jakarta Selatan
12810,"Tebet Barat, Tebet",Jakarta Selatan
12820,"Tebet Timur, Tebet",Jakarta Selatan
12830,"Kebon Baru, Tebet",Jakarta Selatan
12840,"Bukit Duri, Tebet",Jakarta Selatan
12850,"Manggarai, Tebet",Jakarta Selatan
12860,"Manggarai Selatan, Tebet",Jakarta Selatan
12870,"Menteng Dalam, Tebet",Jakarta Selatan
12910,"Setiabudi, Setia Budi",Jakarta Selatan
12920,"Karet, Setia Budi",Jakarta Selatan
12930,"Karet Semanggi, Setia Budi",Jakarta Selatan
12940,"Karet Kuningan, Setia Budi",Jakarta Selatan
12950,"Kuningan Timur, Setia Budi",Jakarta Selatan
12960,"Menteng Atas, Setia Budi",Jakarta Selatan
12970,"Pasar Manggis, Setia Budi",Jakarta Selatan
12980,"Guntur, Setia Budi",Jakarta Selatan
13110,"Pisangan Baru, Matraman",Jakarta Timur
13120,"Utan Kayu Selatan, Matraman",Jakarta Timur
13120,"Utan Kayu Utara, Matraman",Jakarta Timur
13130,"Kayu Manis, Matraman",Jakarta Timur
13140,"Pal Meriam, Matraman",Jakarta Timur
13150,"Kebon Manggis, Matraman",Jakarta Timur
13210,"Kayu Putih, Pulo Gadung",Jakarta Timur
13220,"Jati, Pulo Gadung",Jakarta Timur
13220,"Rawamangun, Pulo Gadung",Jakarta Timur
13230,"Pisangan Timur, Pulo Gadung",Jakarta Timur
13240,"Cipinang, Pulo Gadung",Jakarta Timur
13250,"Jatinegara Kaum, Pulo Gadung",Jakarta Timur
13260,"Pulo Gadung, Pulo Gadung",Jakarta Timur
13310,"Bali Mester, Jatinegara",Jakarta Timur
13320,"Kampung Melayu, Jatinegara",Jakarta Timur
13330,"Bidaracina, Jatinegara",Jakarta Timur
13340,"Cipinang Cempedak, Jatinegara",Jakarta Timur
13350,"Rawa Bunga, Jatinegara",Jakarta Timur
13410,"Cipinang Besar Selatan, Jatinegara",Jakarta Timur
13410,"Cipinang Besar Utara, Jatinegara",Jakarta Timur
13420,"Cipinang Muara, Jatinegara",Jakarta Timur
13430,"Pondok Bambu, Duren Sawit",Jakarta Timur
13440,"Duren Sawit, Duren Sawit",Jakarta Timur
13450,"Pondok Kelapa, Duren Sawit",Jakarta Timur
13460,"Malaka Jaya, Duren Sawit",Jakarta Timur
13460,"Malaka Sari, Duren Sawit",Jakarta Timur
13460,"Pondok Kopi, Duren Sawit",Jakarta Timur
13470,"Klender, Duren Sawit",Jakarta Timur
13510,"Kramat Jati, Kramat Jati",Jakarta Timur
